date,sku,on_hand,received_qty,ordered_qty,sales_qty
2024-01-01,SKU_0001,32.41,0.0,1207.21,33.59
2024-01-02,SKU_0001,0.0,0.0,0.0,32.41
2024-01-03,SKU_0001,0.0,0.0,0.0,0.0
2024-01-04,SKU_0001,0.0,0.0,0.0,0.0
2024-01-05,SKU_0001,0.0,0.0,0.0,0.0
2024-01-06,SKU_0001,0.0,0.0,0.0,0.0
2024-01-07,SKU_0001,1168.04,1207.21,0.0,39.17
2024-01-08,SKU_0001,1119.07,0.0,120.56,48.97
2024-01-09,SKU_0001,1070.65,0.0,0.0,48.42
2024-01-10,SKU_0001,1013.76,0.0,0.0,56.89
2024-01-11,SKU_0001,961.01,0.0,0.0,52.75
2024-01-12,SKU_0001,905.67,0.0,0.0,55.34
2024-01-13,SKU_0001,855.02,0.0,0.0,50.65
2024-01-14,SKU_0001,918.44,120.56,0.0,57.14
2024-01-15,SKU_0001,852.97,0.0,452.6,65.47
2024-01-16,SKU_0001,786.37,0.0,0.0,66.6
2024-01-17,SKU_0001,730.65,0.0,0.0,55.72
2024-01-18,SKU_0001,671.36,0.0,0.0,59.29
2024-01-19,SKU_0001,632.64,0.0,0.0,38.72
2024-01-20,SKU_0001,591.19,0.0,0.0,41.45
2024-01-21,SKU_0001,1008.42,452.6,0.0,35.37
2024-01-22,SKU_0001,965.64,0.0,310.8,42.78
2024-01-23,SKU_0001,901.38,0.0,0.0,64.26
2024-01-24,SKU_0001,849.21,0.0,0.0,52.17
2024-01-25,SKU_0001,780.12,0.0,0.0,69.09
2024-01-26,SKU_0001,744.24,0.0,0.0,35.88
2024-01-27,SKU_0001,698.33,0.0,0.0,45.91
2024-01-28,SKU_0001,965.48,310.8,0.0,43.65
2024-01-29,SKU_0001,899.29,0.0,394.18,66.19
2024-01-30,SKU_0001,843.8,0.0,0.0,55.49
2024-01-31,SKU_0001,784.4,0.0,0.0,59.4
2024-02-01,SKU_0001,702.1,0.0,0.0,82.3
2024-02-02,SKU_0001,651.7,0.0,0.0,50.4
2024-02-03,SKU_0001,611.02,0.0,0.0,40.68
2024-02-04,SKU_0001,972.34,394.18,0.0,32.86
2024-02-05,SKU_0001,917.54,0.0,400.25,54.8
2024-02-06,SKU_0001,856.13,0.0,0.0,61.41
2024-02-07,SKU_0001,770.06,0.0,0.0,86.07
2024-02-08,SKU_0001,712.93,0.0,0.0,57.13
2024-02-09,SKU_0001,657.09,0.0,0.0,55.84
2024-02-10,SKU_0001,621.04,0.0,0.0,36.05
2024-02-11,SKU_0001,978.76,400.25,0.0,42.53
2024-02-12,SKU_0001,932.39,0.0,398.54,46.37
2024-02-13,SKU_0001,865.76,0.0,0.0,66.63
2024-02-14,SKU_0001,777.85,0.0,0.0,87.91
2024-02-15,SKU_0001,710.85,0.0,0.0,67.0
2024-02-16,SKU_0001,660.78,0.0,0.0,50.07
2024-02-17,SKU_0001,608.56,0.0,0.0,52.22
2024-02-18,SKU_0001,949.96,398.54,0.0,57.14
2024-02-19,SKU_0001,879.11,0.0,528.72,70.85
2024-02-20,SKU_0001,800.56,0.0,0.0,78.55
2024-02-21,SKU_0001,723.71,0.0,0.0,76.85
2024-02-22,SKU_0001,656.0,0.0,0.0,67.71
2024-02-23,SKU_0001,617.34,0.0,0.0,38.66
2024-02-24,SKU_0001,549.83,0.0,0.0,67.51
2024-02-25,SKU_0001,1033.53,528.72,0.0,45.02
2024-02-26,SKU_0001,941.4,0.0,563.57,92.13
2024-02-27,SKU_0001,893.98,0.0,0.0,47.42
2024-02-28,SKU_0001,776.02,0.0,0.0,117.96
2024-02-29,SKU_0001,724.25,0.0,0.0,51.77
2024-03-01,SKU_0001,676.35,0.0,0.0,47.9
2024-03-02,SKU_0001,624.24,0.0,0.0,52.11
2024-03-03,SKU_0001,1129.89,563.57,0.0,57.92
2024-03-04,SKU_0001,1069.17,0.0,477.6,60.72
2024-03-05,SKU_0001,958.02,0.0,0.0,111.15
2024-03-06,SKU_0001,886.97,0.0,0.0,71.05
2024-03-07,SKU_0001,820.04,0.0,0.0,66.93
2024-03-08,SKU_0001,763.66,0.0,0.0,56.38
2024-03-09,SKU_0001,714.73,0.0,0.0,48.93
2024-03-10,SKU_0001,1149.97,477.6,0.0,42.36
2024-03-11,SKU_0001,1073.51,0.0,541.73,76.46
2024-03-12,SKU_0001,991.29,0.0,0.0,82.22
2024-03-13,SKU_0001,883.57,0.0,0.0,107.72
2024-03-14,SKU_0001,823.28,0.0,0.0,60.29
2024-03-15,SKU_0001,768.93,0.0,0.0,54.35
2024-03-16,SKU_0001,706.96,0.0,0.0,61.97
2024-03-17,SKU_0001,1194.37,541.73,0.0,54.32
2024-03-18,SKU_0001,1121.59,0.0,550.82,72.78
2024-03-19,SKU_0001,1041.34,0.0,0.0,80.25
2024-03-20,SKU_0001,959.72,0.0,0.0,81.62
2024-03-21,SKU_0001,872.04,0.0,0.0,87.68
2024-03-22,SKU_0001,822.63,0.0,0.0,49.41
2024-03-23,SKU_0001,786.6,0.0,0.0,36.03
2024-03-24,SKU_0001,1279.81,550.82,0.0,57.61
2024-03-25,SKU_0001,1228.52,0.0,442.8,51.29
2024-03-26,SKU_0001,1167.53,0.0,0.0,60.99
2024-03-27,SKU_0001,1096.96,0.0,0.0,70.57
2024-03-28,SKU_0001,1035.87,0.0,0.0,61.09
2024-03-29,SKU_0001,995.93,0.0,0.0,39.94
2024-03-30,SKU_0001,952.01,0.0,0.0,43.92
2024-03-31,SKU_0001,1354.78,442.8,0.0,40.03
2024-04-01,SKU_0001,1289.72,0.0,307.8,65.06
2024-04-02,SKU_0001,1235.98,0.0,0.0,53.74
2024-04-03,SKU_0001,1180.1,0.0,0.0,55.88
2024-04-04,SKU_0001,1090.42,0.0,0.0,89.68
2024-04-05,SKU_0001,1047.5,0.0,0.0,42.92
2024-04-06,SKU_0001,1009.84,0.0,0.0,37.66
2024-04-07,SKU_0001,1259.62,307.8,0.0,58.02
2024-04-08,SKU_0001,1211.88,0.0,323.67,47.74
2024-04-09,SKU_0001,1127.59,0.0,0.0,84.29
2024-04-10,SKU_0001,1051.09,0.0,0.0,76.5
2024-04-11,SKU_0001,975.57,0.0,0.0,75.52
2024-04-12,SKU_0001,922.98,0.0,0.0,52.59
2024-04-13,SKU_0001,891.51,0.0,0.0,31.47
2024-04-14,SKU_0001,1166.31,323.67,0.0,48.87
2024-04-15,SKU_0001,1101.94,0.0,378.68,64.37
2024-04-16,SKU_0001,1019.09,0.0,0.0,82.85
2024-04-17,SKU_0001,884.68,0.0,0.0,134.41
2024-04-18,SKU_0001,805.23,0.0,0.0,79.45
2024-04-19,SKU_0001,721.12,0.0,0.0,84.11
2024-04-20,SKU_0001,658.95,0.0,0.0,62.17
2024-04-21,SKU_0001,981.06,378.68,0.0,56.57
2024-04-22,SKU_0001,923.58,0.0,636.06,57.48
2024-04-23,SKU_0001,839.99,0.0,0.0,83.59
2024-04-24,SKU_0001,769.02,0.0,0.0,70.97
2024-04-25,SKU_0001,678.56,0.0,0.0,90.46
2024-04-26,SKU_0001,626.0,0.0,0.0,52.56
2024-04-27,SKU_0001,574.31,0.0,0.0,51.69
2024-04-28,SKU_0001,1168.27,636.06,0.0,42.1
2024-04-29,SKU_0001,1102.76,0.0,533.65,65.51
2024-04-30,SKU_0001,1000.5,0.0,0.0,102.26
2024-05-01,SKU_0001,935.87,0.0,0.0,64.63
