date,sku,price,promo,true_demand_qty,sales_qty
2024-01-01,SKU_0001,20.18959780989227,0,33.59,33.59
2024-01-02,SKU_0001,19.070949117618245,0,48.15,32.41
2024-01-03,SKU_0001,18.686927290419607,0,62.57,0.0
2024-01-04,SKU_0001,19.653249473706833,0,66.98,0.0
2024-01-05,SKU_0001,17.71839679694181,0,55.48,0.0
2024-01-06,SKU_0001,18.18630585798819,0,41.77,0.0
2024-01-07,SKU_0001,18.44757677262212,0,39.17,39.17
2024-01-08,SKU_0001,17.801523157471742,0,48.97,48.97
2024-01-09,SKU_0001,16.322108737056165,0,48.42,48.42
2024-01-10,SKU_0001,16.392900151143802,0,56.89,56.89
2024-01-11,SKU_0001,15.880290687938626,0,52.75,52.75
2024-01-12,SKU_0001,16.103543382079682,0,55.34,55.34
2024-01-13,SKU_0001,16.124671048003652,0,50.65,50.65
2024-01-14,SKU_0001,17.75127236396395,1,57.14,57.14
2024-01-15,SKU_0001,17.498162198405826,0,65.47,65.47
2024-01-16,SKU_0001,16.45593181096733,0,66.6,66.6
2024-01-17,SKU_0001,16.63389609229076,0,55.72,55.72
2024-01-18,SKU_0001,16.854915709589026,0,59.29,59.29
2024-01-19,SKU_0001,18.287058104860908,0,38.72,38.72
2024-01-20,SKU_0001,19.226706518202764,0,41.45,41.45
2024-01-21,SKU_0001,19.642833031778487,0,35.37,35.37
2024-01-22,SKU_0001,21.44541166392523,0,42.78,42.78
2024-01-23,SKU_0001,19.96907707509736,0,64.26,64.26
2024-01-24,SKU_0001,19.217087146909538,0,52.17,52.17
2024-01-25,SKU_0001,18.177876583530526,0,69.09,69.09
2024-01-26,SKU_0001,17.757655063833283,0,35.88,35.88
2024-01-27,SKU_0001,16.349797718331324,0,45.91,45.91
2024-01-28,SKU_0001,16.984897759024513,0,43.65,43.65
2024-01-29,SKU_0001,16.759935058950894,0,66.19,66.19
2024-01-30,SKU_0001,15.344281173257995,0,55.49,55.49
2024-01-31,SKU_0001,14.437198395943573,0,59.4,59.4
2024-02-01,SKU_0001,14.711344466783173,0,82.3,82.3
2024-02-02,SKU_0001,15.470059684539274,0,50.4,50.4
2024-02-03,SKU_0001,17.439022649341652,0,40.68,40.68
2024-02-04,SKU_0001,20.770674750043327,0,32.86,32.86
2024-02-05,SKU_0001,21.29360281154157,0,54.8,54.8
2024-02-06,SKU_0001,20.06615174796108,0,61.41,61.41
2024-02-07,SKU_0001,17.656634870298355,1,86.07,86.07
2024-02-08,SKU_0001,17.942537921361005,1,57.13,57.13
2024-02-09,SKU_0001,17.088365436207255,0,55.84,55.84
2024-02-10,SKU_0001,16.66776163136912,0,36.05,36.05
2024-02-11,SKU_0001,16.06672887936481,0,42.53,42.53
2024-02-12,SKU_0001,15.931577585128752,0,46.37,46.37
2024-02-13,SKU_0001,16.983834250588334,0,66.63,66.63
2024-02-14,SKU_0001,17.14462784326252,0,87.91,87.91
2024-02-15,SKU_0001,16.982217871118955,0,67.0,67.0
2024-02-16,SKU_0001,15.959073897373587,0,50.07,50.07
2024-02-17,SKU_0001,14.433423409667885,0,52.22,52.22
2024-02-18,SKU_0001,14.01836299454254,0,57.14,57.14
2024-02-19,SKU_0001,13.973199305078268,0,70.85,70.85
2024-02-20,SKU_0001,15.536886242959676,0,78.55,78.55
2024-02-21,SKU_0001,15.65880573755842,1,76.85,76.85
2024-02-22,SKU_0001,16.609881616322596,0,67.71,67.71
2024-02-23,SKU_0001,16.119666695939177,0,38.66,38.66
2024-02-24,SKU_0001,15.013404485979462,1,67.51,67.51
2024-02-25,SKU_0001,14.168715902115053,0,45.02,45.02
2024-02-26,SKU_0001,13.565405853672845,0,92.13,92.13
2024-02-27,SKU_0001,15.413304249836346,0,47.42,47.42
2024-02-28,SKU_0001,14.672101714309168,0,117.96,117.96
2024-02-29,SKU_0001,15.429128752440661,0,51.77,51.77
2024-03-01,SKU_0001,14.615484802372807,0,47.9,47.9
2024-03-02,SKU_0001,15.455670371500993,0,52.11,52.11
2024-03-03,SKU_0001,15.816805409898839,0,57.92,57.92
2024-03-04,SKU_0001,15.668851087728958,0,60.72,60.72
2024-03-05,SKU_0001,15.630575795617538,1,111.15,111.15
2024-03-06,SKU_0001,15.028399651655922,0,71.05,71.05
2024-03-07,SKU_0001,15.43605571747912,0,66.93,66.93
2024-03-08,SKU_0001,15.020366463820853,0,56.38,56.38
2024-03-09,SKU_0001,13.955458172697895,0,48.93,48.93
2024-03-10,SKU_0001,12.925400988173948,0,42.36,42.36
2024-03-11,SKU_0001,13.059942475507214,0,76.46,76.46
2024-03-12,SKU_0001,14.357826505250753,0,82.22,82.22
2024-03-13,SKU_0001,14.49631807624486,0,107.72,107.72
2024-03-14,SKU_0001,14.39349533726496,0,60.29,60.29
2024-03-15,SKU_0001,14.642466340349669,0,54.35,54.35
2024-03-16,SKU_0001,15.836003728963359,0,61.97,61.97
2024-03-17,SKU_0001,16.045830193590664,0,54.32,54.32
2024-03-18,SKU_0001,15.655047374780422,0,72.78,72.78
2024-03-19,SKU_0001,16.72945107351971,0,80.25,80.25
2024-03-20,SKU_0001,17.165406179361565,0,81.62,81.62
2024-03-21,SKU_0001,18.822283290998612,0,87.68,87.68
2024-03-22,SKU_0001,19.030358420214398,0,49.41,49.41
2024-03-23,SKU_0001,17.682357192862604,0,36.03,36.03
2024-03-24,SKU_0001,16.288801086142968,0,57.61,57.61
2024-03-25,SKU_0001,17.984917638639367,0,51.29,51.29
2024-03-26,SKU_0001,19.944500495285606,0,60.99,60.99
2024-03-27,SKU_0001,19.7308280480926,0,70.57,70.57
2024-03-28,SKU_0001,19.282366952088577,1,61.09,61.09
2024-03-29,SKU_0001,21.049518934644215,0,39.94,39.94
2024-03-30,SKU_0001,19.6967759597173,0,43.92,43.92
2024-03-31,SKU_0001,18.667262932067406,0,40.03,40.03
2024-04-01,SKU_0001,19.401899080535486,0,65.06,65.06
2024-04-02,SKU_0001,18.947929126928504,0,53.74,53.74
2024-04-03,SKU_0001,18.942107095507822,0,55.88,55.88
2024-04-04,SKU_0001,18.757257772902875,0,89.68,89.68
2024-04-05,SKU_0001,19.141049774421806,1,42.92,42.92
2024-04-06,SKU_0001,20.827706494879358,0,37.66,37.66
2024-04-07,SKU_0001,20.941215232037006,0,58.02,58.02
2024-04-08,SKU_0001,21.766140305936194,0,47.74,47.74
2024-04-09,SKU_0001,19.246808201981594,0,84.29,84.29
2024-04-10,SKU_0001,19.190629925187736,0,76.5,76.5
2024-04-11,SKU_0001,18.2438551452963,1,75.52,75.52
2024-04-12,SKU_0001,16.957318920303358,0,52.59,52.59
2024-04-13,SKU_0001,16.086982319016744,0,31.47,31.47
2024-04-14,SKU_0001,15.767691218751231,0,48.87,48.87
2024-04-15,SKU_0001,16.658442407515345,0,64.37,64.37
2024-04-16,SKU_0001,15.384085659440414,0,82.85,82.85
2024-04-17,SKU_0001,15.412385908197027,0,134.41,134.41
2024-04-18,SKU_0001,14.971094369176683,0,79.45,79.45
2024-04-19,SKU_0001,14.679631405460118,1,84.11,84.11
2024-04-20,SKU_0001,15.589948563995529,0,62.17,62.17
2024-04-21,SKU_0001,16.101514082979158,0,56.57,56.57
2024-04-22,SKU_0001,17.446816499326058,0,57.48,57.48
2024-04-23,SKU_0001,17.285825936921967,1,83.59,83.59
2024-04-24,SKU_0001,16.578891652009457,0,70.97,70.97
2024-04-25,SKU_0001,16.357700580272816,1,90.46,90.46
2024-04-26,SKU_0001,16.597441839696195,0,52.56,52.56
2024-04-27,SKU_0001,16.77421656027219,0,51.69,51.69
2024-04-28,SKU_0001,15.717577854356474,0,42.1,42.1
2024-04-29,SKU_0001,15.803146748737452,0,65.51,65.51
2024-04-30,SKU_0001,16.021038765406843,0,102.26,102.26
2024-05-01,SKU_0001,18.633317161151016,0,64.63,64.63
2024-05-02,SKU_0001,20.85433625021497,0,78.26,78.26
2024-05-03,SKU_0001,19.813574809364628,1,56.84,56.84
2024-05-04,SKU_0001,19.47485794537744,1,46.81,46.81
2024-05-05,SKU_0001,17.83776390086246,0,46.34,46.34
2024-05-06,SKU_0001,17.21662275872467,0,54.57,54.57
2024-05-07,SKU_0001,17.54574827087774,0,45.81,45.81
2024-05-08,SKU_0001,18.86225573131906,0,78.79,78.79
2024-05-09,SKU_0001,18.054913138558582,0,94.95,94.95
2024-05-10,SKU_0001,17.360006043816014,0,56.15,56.15
2024-05-11,SKU_0001,15.261475556730183,0,54.3,54.3
2024-05-12,SKU_0001,15.113248758600076,0,50.34,50.34
2024-05-13,SKU_0001,14.1799202312818,1,104.53,104.53
2024-05-14,SKU_0001,13.7365550336955,0,83.85,83.85
2024-05-15,SKU_0001,13.03253447957693,1,117.27,117.27
2024-05-16,SKU_0001,12.959033727256374,0,60.26,60.26
2024-05-17,SKU_0001,11.661926923584199,0,65.68,65.68
2024-05-18,SKU_0001,10.679293843863357,0,72.24,72.24
2024-05-19,SKU_0001,12.134608038558342,0,75.77,75.77
2024-05-20,SKU_0001,11.232554160332846,0,101.59,101.59
2024-05-21,SKU_0001,10.517168835569782,1,94.01,94.01
2024-05-22,SKU_0001,11.74260711294148,0,74.45,74.45
2024-05-23,SKU_0001,13.978604223212386,0,84.91,84.91
2024-05-24,SKU_0001,13.029732913576082,0,55.76,55.76
2024-05-25,SKU_0001,12.744998953436838,0,66.89,66.89
2024-05-26,SKU_0001,13.008881139254807,0,42.03,42.03
2024-05-27,SKU_0001,14.430646112627686,0,64.22,64.22
2024-05-28,SKU_0001,13.60099188397213,0,81.99,81.99
2024-05-29,SKU_0001,13.402296219907141,0,95.61,95.61
2024-05-30,SKU_0001,14.04218911808251,0,60.13,60.13
2024-05-31,SKU_0001,14.413312677597787,0,39.03,39.03
2024-06-01,SKU_0001,14.091656811133108,0,51.72,51.72
2024-06-02,SKU_0001,13.9789626113829,0,59.36,59.36
2024-06-03,SKU_0001,12.872069131394344,0,87.52,87.52
2024-06-04,SKU_0001,12.689429901751897,0,80.46,80.46
2024-06-05,SKU_0001,12.488223825723818,0,106.3,106.3
2024-06-06,SKU_0001,12.663404516192937,0,87.99,87.99
2024-06-07,SKU_0001,12.248416539636498,0,86.06,86.06
2024-06-08,SKU_0001,12.599901266288647,0,53.81,53.81
2024-06-09,SKU_0001,13.38924706510277,0,38.57,38.57
2024-06-10,SKU_0001,13.514696009426164,0,66.07,66.07
2024-06-11,SKU_0001,13.8029601274654,0,79.65,79.65
2024-06-12,SKU_0001,13.847052470996761,0,89.76,89.76
2024-06-13,SKU_0001,13.847122586908185,0,52.92,52.92
2024-06-14,SKU_0001,13.260424178551077,0,56.4,56.4
2024-06-15,SKU_0001,13.51464117544143,0,59.33,59.33
2024-06-16,SKU_0001,13.435983361194017,0,52.08,52.08
2024-06-17,SKU_0001,15.23395064130386,0,55.09,55.09
2024-06-18,SKU_0001,16.742122113593236,0,93.52,93.52
2024-06-19,SKU_0001,17.1342368906709,0,52.33,52.33
2024-06-20,SKU_0001,16.36745949535307,0,76.92,76.92
2024-06-21,SKU_0001,15.310678074120958,0,62.92,62.92
2024-06-22,SKU_0001,16.44496046389417,0,38.77,38.77
2024-06-23,SKU_0001,16.70626884633853,0,42.1,42.1
2024-06-24,SKU_0001,17.19455275225648,0,50.72,50.72
2024-06-25,SKU_0001,15.485707069997806,0,69.64,69.64
2024-06-26,SKU_0001,16.371856324115395,0,58.68,58.68
2024-06-27,SKU_0001,16.82437963408345,1,63.35,63.35
2024-06-28,SKU_0001,15.739967247026938,0,45.48,45.48
2024-06-29,SKU_0001,15.300900359070722,0,39.73,39.73
